run,mcs,phase,is_growth_window,tumor_cells,normal_cells,hypoxic_cells,necrotic_cells,tumor_like_cells,hypoxic_fraction,necrotic_fraction,avg_tumor_volume,total_tumor_volume,avg_tumor_target_volume,avg_tumor_volume_growth_rate,avg_tumor_target_growth_rate,total_tumor_volume_growth_rate,endothelial_cells,vascular_like_cells,active_neovascular_cells,vascular_cells,inactive_neovascular_cells,avg_endothelial_volume,avg_vascular_volume,avg_endothelial_volume_growth_rate,avg_vascular_volume_growth_rate,mean_tumor_oxygen,mean_tumor_vegf,mean_tumor_vegf1,mean_tumor_vegf2,mean_endothelial_oxygen,mean_endothelial_vegf,mean_vascular_oxygen,mean_vascular_vegf1,mean_vascular_vegf2,mean_tumor_hif1a,mean_tumor_vegf_drive,mean_hif_vegf2_boost,mean_endothelial_effective_vegf2
5,1810,growth,1,448,280,156,12,448,0.3482142857142857,0.0267857142857142,33.176339285714285,14863.0,35.265035548380446,0.0520089285714285,0.0646719425916671,23.3,50,54,50,4,0,52.52,1900.0,0.024,0.0,29.414776327354566,13.216100375301073,0.0064131374277973,13.216100375301073,70.0,1.7870163381099702,90.0,3.982343077659607,1.4569681584835052,0.3484621391805532,0.4919465675232954,0.2951679405139772,2.0821842786239473
5,1820,growth,1,454,282,164,8,454,0.3612334801762114,0.0176211453744493,33.27533039647577,15107.0,35.52907789961357,0.0537444933920704,0.0730100089757978,24.4,50,54,50,4,0,52.8,1900.0,0.028,0.0,29.56433858535363,13.137937005658507,0.0072997319971311,13.137937005658507,70.0,1.798986592888832,90.0,3.9823432564735417,1.4635840356349945,0.347136909088057,0.490339027853558,0.2942034167121348,2.093190009600967
5,1830,growth,1,467,286,172,9,467,0.3683083511777302,0.019271948608137,33.0406852248394,15430.0,35.29768406298227,0.0691648822269807,0.075763831046715,32.3,50,54,50,4,0,53.08,1900.0,0.028,0.0,29.533349760084132,13.26853391777014,0.009643556733018,13.26853391777014,70.0,1.8018564635515213,90.0,3.9823439717292786,1.4705978333950045,0.3483235459403069,0.4914857969640342,0.2948914781784205,2.0967479417299417
5,1840,growth,1,482,298,177,7,482,0.3672199170124481,0.0145228215767634,32.553941908713696,15691.0,35.07947852898435,0.054149377593361,0.0880270111115641,26.1,51,55,51,4,0,52.509803921568626,1900.0,0.0470588235294117,0.0,29.916222423933355,13.213414868625865,0.0109130894736653,13.213414868625865,70.0,1.7850811107485902,90.0,3.9823502898216248,1.4767015129327774,0.346468485903034,0.4886426799172236,0.2931856079503341,2.0782667186989245
5,1850,growth,1,487,306,176,5,487,0.3613963039014374,0.0102669404517453,32.903490759753595,16024.0,35.90511033373447,0.0683778234086242,0.1185790721885477,33.3,51,55,51,4,0,52.88235294117647,1900.0,0.0372549019607843,0.0,30.278424907269173,13.013498289629174,0.0100168969941432,13.013498289629174,70.0,1.7824762136328454,90.0,3.982466220855713,1.483168125152588,0.3447799586982244,0.4861755185383182,0.2917053111229909,2.0741815247558364
5,1860,growth,1,492,308,175,9,492,0.3556910569105691,0.0182926829268292,33.36788617886179,16417.0,36.34630953005659,0.0798780487804878,0.0806088528982022,39.3,51,55,51,4,0,53.21568627450981,1900.0,0.0333333333333333,0.0,30.360147807656265,12.980388658318091,0.0120935076059641,12.980388658318091,70.0,1.777177419732599,90.0,3.982880711555481,1.491441011428833,0.3450758771112734,0.4862219865290711,0.2917331919174427,2.0689106116500415
5,1870,growth,1,496,313,171,12,496,0.344758064516129,0.0241935483870967,33.89717741935484,16813.0,36.923124174917895,0.0798387096774193,0.0869930044297249,39.6,53,57,53,4,0,51.15094339622642,1900.0,-0.0056603773584905,0.0,30.666206181049347,12.895929016413229,0.0112416811744643,12.895929016413229,70.0,1.7579399724051636,90.0,3.9835878014564514,1.5013006180524826,0.3438215657962253,0.4840325130378615,0.2904195078227169,2.0483594802278806
5,1880,growth,1,525,342,170,13,525,0.3238095238095238,0.0247619047619047,32.64952380952381,17141.0,35.23153259640648,0.0624761904761904,0.0347971471150716,32.8,53,57,53,4,0,51.66037735849056,1900.0,0.0509433962264151,0.0,31.832940661112467,12.390763686498008,0.0144654275724526,12.390763686498008,70.0,1.7733953887561582,90.0,3.98444265127182,1.511892408132553,0.3379885609708652,0.4753576896194155,0.2852146137716493,2.0586100025278076
5,1890,growth,1,539,355,169,15,539,0.313543599257885,0.0278293135435992,32.30055658627087,17410.0,35.00074378103847,0.0499072356215213,0.0684315927395794,26.9,53,57,53,4,0,51.66037735849056,1900.0,0.0,0.0,32.514084156015144,12.05240526756683,0.0138150028789675,12.05240526756683,70.0,1.784875603216999,90.0,3.985298097133637,1.5244240760803225,0.3336746581972118,0.4688640315966019,0.2813184189579611,2.06619402217496
5,1900,growth,1,557,364,177,16,557,0.3177737881508079,0.0287253141831238,31.793536804308797,17709.0,34.515847019490046,0.0536804308797127,0.0646186520424094,29.9,53,57,53,4,0,51.83018867924528,1900.0,0.0169811320754716,0.0,32.45478060772004,12.109821295823828,0.0132372424557311,12.109821295823828,70.0,1.8192384316111512,90.0,3.986053764820099,1.5398185551166534,0.3336940985238835,0.4688532438202855,0.2813119462921712,2.1005503779033226
5,1910,growth,1,564,371,176,17,564,0.3120567375886525,0.0301418439716312,31.906028368794328,17995.0,34.849878804903504,0.050709219858156,0.0762419957641168,28.6,53,57,53,4,0,52.283018867924525,1900.0,0.0452830188679245,0.0,32.75761308568589,11.97296801167177,0.0133169433050413,11.97296801167177,70.0,1.8232604237097616,90.0,3.986665189266205,1.558964118361473,0.3317129169153323,0.4659642986669192,0.2795785792001515,2.1028390029099127
5,1920,growth,1,579,382,187,10,579,0.3229706390328152,0.0172711571675302,31.704663212435232,18357.0,34.6775634251728,0.0625215889464594,0.0730531221432595,36.2,54,58,54,4,0,51.833333333333336,1900.0,0.0518518518518518,0.0,32.96667259427138,11.878678184510925,0.0125359283671692,11.878678184510925,70.0,1.820037501277747,90.0,3.987129807472229,1.5824662744998932,0.3299778002151943,0.4636598839034797,0.2781959303420878,2.098233431619835
